transaction_date,sales_amount,traffic,revenue,churn_rate
2023-02-16,137.03,1018.0,200.86,0.0259
2023-02-17,105.52,1148.0,252.41,0.0248
2023-02-18,132.07,1196.0,206.45,0.03
2023-02-19,130.63,1093.0,244.2,0.0268
2023-02-20,107.36,1097.0,246.94,0.0266
2023-02-21,140.09,1010.0,267.92,0.0299
2023-02-22,128.24,1102.0,271.27,0.0209
2023-02-23,142.23,1098.0,203.11,0.0261
2023-02-24,130.77,1120.0,287.13,0.028
2023-02-25,106.92,1156.0,262.17,0.028
2023-02-26,117.93,1063.0,204.48,0.0289
2023-02-27,126.47,1034.0,297.73,0.0202
2023-02-28,134.77,1093.0,227.54,0.0271
2023-03-01,108.01,1011.0,294.04,0.029
2023-03-02,134.31,1168.0,284.78,0.0222
2023-03-03,110.92,1002.0,255.92,0.0235
2023-03-04,140.37,1129.0,261.0,0.0232
2023-03-05,120.36,1146.0,232.88,0.0232
2023-03-06,141.51,1057.0,266.29,0.0241
2023-03-07,133.08,1034.0,264.6,0.0274
2023-03-08,145.97,1086.0,258.45,0.029
2023-03-09,105.04,1174.0,205.81,0.025
2023-03-10,102.23,1065.0,297.72,0.0227
2023-03-11,129.24,1001.0,201.14,0.0233
2023-03-12,106.37,1017.0,274.64,0.0201
2023-03-13,147.06,1086.0,269.53,0.0224
2023-03-14,145.43,1095.0,278.2,0.0258
2023-03-15,137.91,1147.0,243.89,0.022
2023-03-16,144.58,1160.0,229.23,0.0232
2023-03-17,118.11,1147.0,257.47,0.0265
2023-03-18,115.92,1095.0,244.0,0.0295
2023-03-19,129.93,1171.0,286.85,0.0222
2023-03-20,100.65,1064.0,232.52,0.0224
2023-03-21,147.43,1027.0,296.21,0.0253
2023-03-22,107.73,1064.0,235.36,0.0294
2023-03-23,110.23,1054.0,219.44,0.026
2023-03-24,147.29,1008.0,253.14,0.0275
2023-03-25,122.68,1048.0,281.61,0.0201
2023-03-26,144.31,1004.0,252.44,0.0265
2023-03-27,102.03,1104.0,228.03,0.0214
2023-03-28,137.86,1036.0,233.1,0.0269
2023-03-29,117.26,1016.0,229.75,0.0204
2023-03-30,123.6,1076.0,235.06,0.0267
2023-03-31,134.35,1160.0,288.96,0.02
2023-04-01,115.64,1160.0,296.12,0.0292
2023-04-02,109.98,1047.0,262.63,0.0276
2023-04-03,109.14,1155.0,224.41,0.0204
2023-04-04,120.48,1040.0,295.96,0.0238
2023-04-05,136.12,1110.0,211.08,0.024
2023-04-06,128.56,1177.0,207.04,0.0219
2023-04-07,140.58,1185.0,249.25,0.0238
2023-04-08,125.05,1096.0,204.23,0.0242
2023-04-09,104.48,1152.0,295.7,0.028
2023-04-10,131.9,1140.0,212.36,0.0251
2023-04-11,123.93,1090.0,277.26,0.0255
2023-04-12,100.53,1148.0,201.99,0.0251
2023-04-13,101.25,1059.0,244.66,0.0292
2023-04-14,134.52,1089.0,206.33,0.0256
2023-04-15,136.37,1045.0,229.39,0.0286
2023-04-16,114.98,1059.0,275.43,0.0235
2023-04-17,132.04,1040.0,265.59,0.0281
2023-04-18,137.07,1123.0,223.73,0.0208
2023-04-19,136.05,1115.0,204.7,0.03
2023-04-20,111.41,1165.0,226.73,0.0222
2023-04-21,117.15,1123.0,219.18,0.0269
2023-04-22,123.53,1144.0,225.41,0.029
2023-04-23,121.47,1047.0,298.04,0.0256
2023-04-24,136.24,1190.0,282.25,0.0277
2023-04-25,123.11,1026.0,203.4,0.028
2023-04-26,101.5,1145.0,250.46,0.0214
2023-04-27,118.75,1169.0,292.51,0.0269
2023-04-28,117.94,1137.0,201.45,0.0232
2023-04-29,133.65,1054.0,232.15,0.0289
2023-04-30,106.96,1170.0,229.46,0.0253
2023-05-01,111.8,1046.0,269.02,0.0232
2023-05-02,136.07,1173.0,236.28,0.0206
2023-05-03,128.94,1177.0,296.96,0.0299
2023-05-04,117.88,1045.0,217.34,0.0248
2023-05-05,134.94,1007.0,279.69,0.0298
2023-05-06,149.42,1126.0,294.45,0.0299
2023-05-07,129.52,1134.0,278.01,0.0288
2023-05-08,140.05,1052.0,232.25,0.0275
2023-05-09,111.46,1043.0,269.6,0.0225
2023-05-10,100.85,1178.0,281.71,0.0252
2023-05-11,110.83,1122.0,218.14,0.0209
2023-05-12,115.86,1102.0,218.67,0.0225
2023-05-13,101.24,1135.0,265.62,0.0242
2023-05-14,128.29,1134.0,247.84,0.0242
2023-05-15,112.74,1035.0,258.88,0.023
2023-05-16,103.67,1014.0,267.55,0.0284
2023-05-17,139.58,1101.0,298.44,0.0298
2023-05-18,100.35,1088.0,253.1,0.0205
2023-05-19,147.14,1025.0,203.34,0.021
2023-05-20,126.88,1058.0,257.37,0.0267
2023-05-21,118.83,1161.0,209.22,0.0268
2023-05-22,127.16,1161.0,254.73,0.0255
2023-05-23,135.02,1159.0,200.82,0.0218
2023-05-24,122.71,1119.0,263.28,0.0236
2023-05-25,144.56,1142.0,285.69,0.0242
2023-05-26,105.81,1172.0,289.22,0.0242
2023-05-27,147.32,1039.0,255.92,0.0297
2023-05-28,101.26,1004.0,279.01,0.024
2023-05-29,135.21,1054.0,218.17,0.0243
2023-05-30,136.09,1046.0,224.1,0.0281
2023-05-31,100.96,1102.0,295.41,0.0229
2023-06-01,130.37,1101.0,213.91,0.0276
2023-06-02,145.36,1013.0,212.07,0.0232
2023-06-03,148.99,1134.0,271.52,0.0236
2023-06-04,137.68,1027.0,250.59,0.021
2023-06-05,139.25,1154.0,295.0,0.0265
2023-06-06,146.45,1102.0,295.85,0.0283
2023-06-07,123.39,1117.0,263.08,0.0269
2023-06-08,146.88,1164.0,217.47,0.0296
2023-06-09,143.17,1139.0,215.44,0.0262
2023-06-10,106.57,1166.0,263.42,0.0291
2023-06-11,102.54,1128.0,222.58,0.0204
2023-06-12,128.02,1178.0,204.62,0.0218
2023-06-13,132.79,1159.0,296.77,0.0269
2023-06-14,116.24,1034.0,224.67,0.0238
2023-06-15,106.19,1095.0,282.92,0.0284
2023-06-16,112.24,1026.0,296.12,0.0259
2023-06-17,144.06,1146.0,258.83,0.0255
2023-06-18,142.83,1074.0,219.81,0.0214
2023-06-19,100.11,1092.0,283.24,0.0257
2023-06-20,119.95,1027.0,265.98,0.0271
2023-06-21,148.3,1193.0,298.35,0.0279
2023-06-22,128.5,1184.0,246.7,0.0232
2023-06-23,145.97,1100.0,221.42,0.0265
2023-06-24,114.88,1126.0,262.49,0.0275
2023-06-25,133.46,1083.0,214.39,0.0214
2023-06-26,126.92,1193.0,233.06,0.0226
2023-06-27,108.97,1024.0,211.09,0.0266
2023-06-28,135.57,1107.0,208.33,0.0297
2023-06-29,101.48,1113.0,288.77,0.0231
2023-06-30,105.82,1198.0,281.38,0.0292
2023-07-01,123.75,1123.0,294.08,0.0279
2023-07-02,113.38,1012.0,266.17,0.0296
2023-07-03,106.12,1191.0,287.23,0.0228
2023-07-04,149.64,1099.0,222.65,0.0257
2023-07-05,111.84,1027.0,269.69,0.025
2023-07-06,138.84,1163.0,297.58,0.0226
2023-07-07,106.3,1090.0,299.06,0.0241
2023-07-08,145.26,1055.0,258.11,0.0291
2023-07-09,100.21,1016.0,241.65,0.0236
2023-07-10,135.21,1021.0,216.68,0.0268
2023-07-11,117.45,1119.0,263.94,0.0222
2023-07-12,139.02,1026.0,242.01,0.0298
2023-07-13,121.27,1104.0,207.44,0.0269
2023-07-14,126.9,1198.0,217.48,0.0266
2023-07-15,141.49,1070.0,218.18,0.0228
2023-07-16,128.84,1114.0,216.17,0.0225
2023-07-17,128.75,1014.0,251.96,0.0291
2023-07-18,137.45,1131.0,251.75,0.0286
2023-07-19,105.75,1156.0,265.88,0.029
2023-07-20,136.91,1050.0,245.49,0.0253
2023-07-21,107.38,1129.0,261.38,0.0219
2023-07-22,143.12,1060.0,285.65,0.0276
2023-07-23,145.9,1093.0,266.39,0.0224
2023-07-24,119.52,1191.0,209.0,0.0291
2023-07-25,111.01,1085.0,278.37,0.0202
2023-07-26,118.89,1186.0,224.71,0.0249
2023-07-27,139.64,1097.0,278.19,0.0258
2023-07-28,139.7,1055.0,262.14,0.0211
2023-07-29,119.91,1042.0,289.34,0.0282
2023-07-30,135.1,1026.0,292.9,0.03
2023-07-31,111.85,1034.0,272.32,0.024
2023-08-01,124.31,1197.0,277.7,0.0244
2023-08-02,133.85,1063.0,248.69,0.0211
2023-08-03,113.81,1148.0,287.53,0.0276
2023-08-04,128.27,1044.0,212.08,0.028
2023-08-05,134.42,1110.0,278.93,0.0213
2023-08-06,139.52,1003.0,212.38,0.022
2023-08-07,114.88,1129.0,262.89,0.0222
2023-08-08,147.25,1181.0,220.48,0.0271
2023-08-09,110.6,1097.0,249.32,0.025
2023-08-10,127.57,1091.0,219.41,0.0271
2023-08-11,125.95,1027.0,208.02,0.0262
2023-08-12,131.7,1031.0,229.41,0.0215
2023-08-13,102.03,1185.0,260.82,0.0255
2023-08-14,103.26,1172.0,296.87,0.0215
2023-08-15,125.22,1030.0,212.49,0.0212
2023-08-16,122.97,1080.0,210.95,0.0284
2023-08-17,110.28,1134.0,237.54,0.0251
2023-08-18,109.8,1020.0,268.84,0.024
2023-08-19,118.21,1131.0,250.08,0.0239
2023-08-20,110.23,1157.0,250.64,0.0291
2023-08-21,146.47,1004.0,293.61,0.0214
2023-08-22,132.38,1044.0,277.05,0.0249
2023-08-23,108.86,1144.0,270.08,0.0212
2023-08-24,118.77,1093.0,298.61,0.0264
2023-08-25,137.3,1009.0,275.79,0.0262
2023-08-26,122.25,1075.0,233.79,0.0202
2023-08-27,116.78,1048.0,254.18,0.0267
2023-08-28,116.98,1149.0,201.18,0.0222
2023-08-29,148.99,1183.0,265.67,0.0215
2023-08-30,137.79,1116.0,291.93,0.0238
2023-08-31,106.19,1169.0,221.9,0.0201
2023-09-01,141.79,1125.0,262.96,0.0273
2023-09-02,142.84,1092.0,248.63,0.0231
2023-09-03,142.62,1104.0,202.23,0.0246
2023-09-04,115.69,1063.0,217.54,0.0244
2023-09-05,111.17,1123.0,299.63,0.0242
2023-09-06,148.07,1179.0,219.14,0.0223
2023-09-07,140.42,1047.0,281.04,0.0245
2023-09-08,141.19,1033.0,259.4,0.0285
2023-09-09,136.9,1138.0,269.2,0.027
2023-09-10,112.21,1080.0,264.58,0.0279
2023-09-11,129.72,1146.0,207.58,0.029
2023-09-12,117.57,1170.0,207.13,0.0208
2023-09-13,145.68,1198.0,219.94,0.0201
2023-09-14,113.17,1172.0,284.42,0.0208
2023-09-15,120.55,1019.0,283.52,0.0268
2023-09-16,112.24,1037.0,237.23,0.0229
2023-09-17,123.3,1181.0,274.08,0.0242
2023-09-18,139.74,1102.0,244.58,0.0235
2023-09-19,122.62,1006.0,217.62,0.0251
2023-09-20,147.35,1028.0,233.5,0.0265
2023-09-21,108.6,1184.0,297.92,0.0216
2023-09-22,102.55,1081.0,277.17,0.0265
2023-09-23,108.63,1122.0,266.7,0.0241
2023-09-24,109.3,1079.0,216.17,0.0285
2023-09-25,133.55,1069.0,224.77,0.0298
2023-09-26,108.75,1075.0,254.03,0.0257
2023-09-27,147.25,1160.0,281.06,0.0279
2023-09-28,137.48,1144.0,258.67,0.0231
2023-09-29,147.84,1119.0,243.0,0.0281
2023-09-30,146.11,1036.0,264.13,0.0288
2023-10-01,114.89,1146.0,267.68,0.0281
2023-10-02,136.81,1141.0,272.23,0.0276
2023-10-03,117.08,1192.0,236.62,0.0237
2023-10-04,109.68,1189.0,202.77,0.028
2023-10-05,134.19,1120.0,227.22,0.0239
2023-10-06,119.39,1038.0,222.66,0.0233
2023-10-07,127.19,1113.0,260.06,0.0255
2023-10-08,149.4,1087.0,256.86,0.0241
2023-10-09,145.5,1020.0,216.82,0.0234
2023-10-10,128.15,1129.0,258.45,0.0243
2023-10-11,148.0,1195.0,286.27,0.0269
2023-10-12,144.71,1052.0,237.02,0.0235
2023-10-13,110.35,1021.0,236.86,0.0262
2023-10-14,129.95,1167.0,239.85,0.0263
2023-10-15,103.4,1166.0,235.08,0.0289
2023-10-16,145.06,1194.0,264.3,0.0258
2023-10-17,108.77,1034.0,225.32,0.0219
2023-10-18,123.41,1146.0,246.35,0.0281
2023-10-19,137.54,1059.0,226.73,0.0293
2023-10-20,126.5,1072.0,281.86,0.0222
2023-10-21,145.31,1085.0,255.02,0.029
2023-10-22,135.42,1098.0,262.56,0.0236
2023-10-23,139.73,1191.0,250.32,0.021
2023-10-24,147.27,1157.0,240.61,0.0236
2023-10-25,125.18,1037.0,214.43,0.0202
2023-10-26,131.78,1145.0,227.12,0.0228
2023-10-27,122.07,1088.0,252.06,0.0292
2023-10-28,133.07,1054.0,246.42,0.0268
2023-10-29,135.94,1106.0,233.64,0.0284
2023-10-30,139.89,1123.0,234.18,0.0294
2023-10-31,104.94,1063.0,298.1,0.0232
2023-11-01,102.09,1093.0,252.15,0.0208
2023-11-02,142.54,1180.0,295.93,0.0201
2023-11-03,126.66,1177.0,254.85,0.0249
2023-11-04,110.32,1042.0,270.38,0.0247
2023-11-05,137.15,1124.0,289.05,0.0245
2023-11-06,136.5,1124.0,236.72,0.0232
2023-11-07,129.19,1160.0,224.46,0.0202
2023-11-08,146.55,1166.0,278.85,0.0229
2023-11-09,131.51,1044.0,252.84,0.024
2023-11-10,100.82,1076.0,234.63,0.0264
2023-11-11,105.79,1050.0,243.22,0.0237
2023-11-12,125.44,1032.0,277.45,0.0257
2023-11-13,112.31,1097.0,205.55,0.0275
2023-11-14,111.85,1112.0,233.24,0.0255
2023-11-15,145.75,1070.0,238.07,0.022
2023-11-16,125.64,1175.0,288.87,0.0272
2023-11-17,128.08,1184.0,224.92,0.0255
2023-11-18,126.83,1185.0,274.37,0.029
2023-11-19,115.87,1041.0,229.77,0.0208
2023-11-20,134.09,1105.0,284.39,0.0247
2023-11-21,128.02,1177.0,225.37,0.0202
2023-11-22,145.28,1153.0,254.36,0.0284
2023-11-23,131.85,1144.0,251.94,0.0294
2023-11-24,111.79,1127.0,225.46,0.0296
2023-11-25,143.64,1155.0,215.57,0.0232
2023-11-26,110.93,1028.0,244.01,0.0222
2023-11-27,149.8,1112.0,200.45,0.0264
2023-11-28,116.48,1189.0,259.21,0.0226
2023-11-29,140.3,1009.0,217.4,0.0204
2023-11-30,149.21,1017.0,299.83,0.0253
2023-12-01,122.45,1036.0,203.04,0.0294
2023-12-02,108.05,1044.0,261.35,0.0284
2023-12-03,125.94,1085.0,279.53,0.0297
2023-12-04,146.61,1113.0,212.0,0.0203
2023-12-05,104.74,1074.0,265.09,0.0207
2023-12-06,142.97,1139.0,241.45,0.0249
2023-12-07,141.17,1080.0,265.0,0.0255
2023-12-08,116.51,1055.0,252.37,0.0233
2023-12-09,125.8,1182.0,271.13,0.0296
2023-12-10,101.25,1072.0,212.86,0.0288
2023-12-11,134.14,1019.0,276.37,0.0291
2023-12-12,139.73,1123.0,206.7,0.0268
2023-12-13,100.9,1170.0,239.57,0.0235
2023-12-14,109.01,1185.0,244.95,0.021
2023-12-15,118.63,1138.0,246.85,0.028
2023-12-16,118.78,1122.0,219.87,0.0294
2023-12-17,116.97,1097.0,265.32,0.0292
2023-12-18,104.91,1018.0,251.42,0.0249
2023-12-19,112.65,1199.0,216.0,0.0227
2023-12-20,135.71,1065.0,254.67,0.0258
2023-12-21,112.64,1111.0,224.6,0.0222
2023-12-22,144.7,1085.0,214.34,0.0207
2023-12-23,108.54,1031.0,242.82,0.0264
2023-12-24,149.3,1005.0,266.66,0.0254
2023-12-25,106.28,1016.0,262.75,0.0212
2023-12-26,119.99,1142.0,251.03,0.0272
2023-12-27,114.32,1069.0,281.7,0.0225
2023-12-28,136.87,1165.0,222.49,0.0287
2023-12-29,101.78,1183.0,240.44,0.0217
2023-12-30,145.63,1071.0,290.84,0.0223
2023-12-31,123.4,1109.0,240.57,0.0215
